Title,Price,Rating,Link
A Light in the Attic,Â£51.77,Three,https://books.toscrape.com/catalogue/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Â£53.74,One,https://books.toscrape.com/catalogue/catalogue/tipping-the-velvet_999/index.html
Soumission,Â£50.10,One,https://books.toscrape.com/catalogue/catalogue/soumission_998/index.html
Sharp Objects,Â£47.82,Four,https://books.toscrape.com/catalogue/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Â£54.23,Five,https://books.toscrape.com/catalogue/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Â£22.65,One,https://books.toscrape.com/catalogue/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,https://books.toscrape.com/catalogue/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,https://books.toscrape.com/catalogue/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,https://books.toscrape.com/catalogue/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Â£52.15,One,https://books.toscrape.com/catalogue/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,https://books.toscrape.com/catalogue/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Â£20.66,Four,https://books.toscrape.com/catalogue/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,Â£17.46,Five,https://books.toscrape.com/catalogue/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,Five,https://books.toscrape.com/catalogue/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Â£35.02,Five,https://books.toscrape.com/catalogue/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,Three,https://books.toscrape.com/catalogue/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Â£23.88,One,https://books.toscrape.com/catalogue/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,One,https://books.toscrape.com/catalogue/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Â£51.33,Two,https://books.toscrape.com/catalogue/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,Â£45.17,Two,https://books.toscrape.com/catalogue/catalogue/its-only-the-himalayas_981/index.html
